id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,k
SA,food,C,Exponential,0.8800042552846936,0.08460866516609668,64.84589465642021,0.11976210317460322,0.39398620012110824
KM,money,F,Exponential,0.338170891955146,0.8690831693706023,27.322069279622486,0.9270905032467536,0.009583901890668893
SA,music,C,Exponential,0.7688844214912418,0.3158770280466745,58.91387421827329,0.5990972222222222,0.10032349867842319
PF,money,F,Exponential,0.26210124431199633,0.9291731762194828,21.760869047460066,0.9544348958333331,0.004958806642717674
CC,music,C,Exponential,0.1970760445248113,0.4593413996563452,17.053129927147886,0.9859826388888886,0.06088756418668821
SA,food,F,Exponential,0.8513906345531934,0.07224010093276065,62.51279529899908,0.1631927244582044,0.46145338113906875
LD,food,C,Exponential,0.23220665787323186,0.9472698964460817,19.039536489729453,0.9682100243506494,0.0036446200896291725
AD,food,F,Exponential,0.39147051226979473,0.05124986693693195,30.37199394397132,0.897979515050167,0.650491083565038
SP,food,C,Exponential,0.6660423853403943,0.7030456262931108,51.701450500287685,0.5380495454545455,0.0250504001392965
DN,food,C,Exponential,0.23732162187437034,0.9957990467687746,19.523449289483516,0.8141035353535355,0.00028085066261696664
AF,money,F,Exponential,0.728330384890391,0.03115470547681642,53.79956773260268,0.9211527777777776,1.0702984790617547
NG,money,C,Exponential,0.18322487771121418,0.984614342097796,15.668042695661011,0.9761512019230768,0.0010363681702954283
DCRD,food,F,Exponential,,0.04202662523254298,71.86060031664178,,0.7932983288281729
SE,music,C,Exponential,0.5609064626912739,0.9761828396432126,43.224120098979654,0.5677647783251232,0.0016135336129379225
RD,food,C,Exponential,0.632949542610164,0.16436829865754318,48.38312534646221,0.7356577272727273,0.20233036235290167
JD,food,F,Exponential,0.6600597350726445,0.02572743419214175,48.432965458655055,0.9385149999999999,1.2962894961903035
DCRD,money,F,Exponential,0.23261199626572202,0.9876955528479598,19.389804754653674,0.9610670572916667,0.0008270951282662143
GW,music,F,Exponential,0.44645865513752797,0.9391760859180371,35.554959604478604,0.8822196180555554,0.004228174171009081
RR,food,C,Exponential,0.41590679785475576,0.19179466156642325,32.40096878140658,0.8871675781249998,0.17282504256492845
LG,music,C,Exponential,0.3290166888906261,0.6043649627277274,26.237891342558044,0.9399067337461301,0.036950977446892457
ZZ,food,C,Exponential,0.4079656724834908,0.06564709107654615,32.59163802025755,0.8799138636363638,0.5078048955629926
PF,music,C,Exponential,0.39502390728693654,0.9058342709225646,31.41207323235227,0.906346185064935,0.006705637871271996
ND,music,F,Exponential,0.3345881091054811,0.47719261542144464,27.831948088540447,0.9362023993808052,0.05735159628806386
CF,money,F,Exponential,0.3588505298021048,0.35857265546752504,28.60648372535044,0.9188502321981421,0.08589512240998941
AK,food,F,Exponential,0.8435119366825025,0.07235680390014528,62.154887554753714,0.2789638671875,0.4607090060473887
CV,money,C,Exponential,0.1268591797526486,0.998461233880935,10.850726319609262,0.9478814338235296,0.00010268977888973857
MK,money,C,Exponential,0.32117115178159594,0.9845795546348848,26.757775757897925,0.9186140909090911,0.0010387358986415206
ZZ,music,F,Exponential,0.44587123334116596,0.06566903415871354,34.99787039167194,0.8727581168831169,0.5076351873280376
FD,food,C,Exponential,0.47606240485953266,0.02652982610540366,35.79150490747873,0.9109953703703705,1.2570454370794282
VB,food,F,Exponential,0.3795707712527302,0.14448264671273317,29.632925554304258,0.9134813492063495,0.23048274002877905
JDA,music,F,Exponential,0.5370979789857017,0.37404566692505226,43.883403763422855,0.8308429783950617,0.08135303065061046
KM,food,C,Exponential,0.3032719551727504,0.9132899909561245,24.202006618098505,0.9462276785714284,0.006141043444814125
LS,music,F,Exponential,0.28636590050082467,0.9543984579671801,24.976791020307886,0.9505113636363638,0.0031361891842959337
NG,money,F,Exponential,0.47507431938951283,0.4462369766424738,37.396358457253086,0.8745897832817339,0.06362283045761137
CL,food,C,Exponential,0.3807541781334668,0.9187459024847517,29.851532321160533,0.9214566406250001,0.005731827606569972
CF,money,C,Exponential,0.38045557327604806,0.8595492848316367,31.026215123263064,0.913013189935065,0.010357804599224606
DCRD,food,C,Exponential,0.32288490108909373,0.979367021910889,26.21455107372394,0.943923076923077,0.001394784326900763
AH,food,F,Exponential,0.38216735780397076,0.8647912627940104,30.078844817832998,0.9099515625000001,0.009930848647495981
SG,music,F,Exponential,0.21593146055888413,0.9986943788336985,17.485362781423188,0.6748180147058822,8.711725583983823e-05
SD,music,F,Exponential,0.3763047115651253,0.19303553805040205,30.11966470398948,0.9187769886363635,0.17168026804069325
JSL,money,C,Exponential,0.3800318353668707,0.4331235122634095,30.22898420267663,0.919936145510836,0.06648946321029171
NG,food,C,Exponential,0.43227599193340926,0.9416318897934151,34.03528488027143,0.8693012152777778,0.0040504000314197895
CC,money,F,Exponential,0.3092030853559202,0.3564449580243197,25.560204788897252,0.9383910714285716,0.08654512403424897
SA,music,F,Exponential,0.9113796618334751,0.06613491208816119,67.83444691857439,0.36132597656249993,0.5040586606703498
BF,food,C,Exponential,0.35942781139268143,0.973645402074363,29.77107198214918,0.9143507525083612,0.001788537384351434
EM,food,F,Exponential,0.2520070439447697,0.04376722062881907,20.62338834612385,0.9595243055555555,0.7617380856145244
RD,music,F,Exponential,0.5737998998755269,0.7518249693724586,46.56849809203821,0.8384448160535114,0.020015332114481445
ND,money,C,Exponential,0.23812507619317347,0.957864774949331,19.606392693367635,0.9579496753246755,0.0028908016589290417
CL,music,F,Exponential,0.45232741666975784,0.7362461650425666,36.842750713261196,0.8868173374613002,0.021572079064405572
FD,money,F,Exponential,0.37352892672233495,0.34071186733292386,29.56479396442277,0.9136635802469134,0.09156027091952519
SG,music,C,Exponential,,0.9991388607304421,1.7608756997133104,,5.744226663294085e-05
CC,food,C,Exponential,0.8680782255009417,0.10735825352494202,65.38864624649892,0.2611416015625,0.3104679419112173
SD,food,C,Exponential,0.29626323765533236,0.9645879722486285,23.959427988484702,0.9508177083333336,0.0024182351685788383
RV,food,C,Exponential,0.39891420669820044,0.9565225639704236,34.44709533462298,0.8990859090909094,0.0029856777170438197
YVH,music,C,Exponential,0.8435201866564157,0.09415414947701867,65.06325293780493,0.4993215944272445,0.35403408827370797
JSL,money,F,Exponential,0.4262372803145308,0.8294894969475562,33.40420368824698,0.9013053405572754,0.012877022001750331
MH,money,F,Exponential,0.53107513509835,0.4099321601810544,41.61460529978572,0.8232321981424149,0.07191201708362814
ND,food,C,Exponential,0.3779399309453185,0.5832289133111286,29.60334036740994,0.91398225308642,0.03987344971363528
LD,money,C,Exponential,0.3293016787629611,0.8392786204120071,26.646165191070054,0.9335337890625002,0.012043031956314358
BF,music,F,Exponential,0.359444586628205,0.5863517476837105,28.91099858550636,0.9288283179012349,0.039431895597020754
MH,music,C,Exponential,0.183115713901359,0.43126424968171506,15.997585079093898,0.9797540509259259,0.06690702554534408
SD,food,F,Exponential,0.2292241880228022,0.1634839455135665,19.382897474754316,0.9717039682539683,0.20344031422138534
GW,money,C,Exponential,0.37903159507576745,0.8698060895749955,30.18487886342908,0.9029025919732444,0.009525693237000737
CL,music,C,Exponential,0.3836247591016634,0.8979663969811988,30.508920994604676,0.9174686507936509,0.007308318503362473
PF,money,C,Exponential,0.23026247969654834,0.9247934463781455,20.53492754685223,0.9655328177257523,0.005282060896852965
JSL,music,F,Exponential,0.44608957933526977,0.4245854727274415,35.12525615530433,0.870404296875,0.0684308551255546
DN,music,C,Exponential,,0.9991264261217832,1.758215720711992,,5.827220027394973e-05
KM,music,F,Exponential,0.3404301417689097,0.7792717396276363,28.14068597093047,0.9331756965944271,0.017379811468577026
JLN,food,F,Exponential,0.29345091526789047,0.17359812898188273,23.651887322033243,0.9441542207792208,0.19140042982360658
FD,money,C,Exponential,0.27966417671582755,0.4334735227326266,22.39234365710845,0.9463966796875002,0.0664111736649618
BJ,food,C,Exponential,0.901656328524159,0.06844601430567868,65.96362725583211,0.0001075487012987012,0.4870363914336032
JDA,money,F,Exponential,0.5098875215027605,0.29954766114500103,39.44840845804058,0.8269575617283949,0.10675534107560562
YVH,money,C,Exponential,0.43943496547992733,0.9869272555361792,35.13795240034861,0.8487317386831277,0.0008791954567743017
