id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk
VB,food,F,Hyperbolic,0.45303939873025023,0.24158835597519257,34.885205894214245,0.8614500000000004,-1.1106404580614566
JDA,music,F,Hyperbolic,0.5374210961747683,0.4967793020411456,43.345696702350146,0.8325727237654321,-2.464808036856172
KM,food,C,Hyperbolic,0.3599170724008088,0.8912284104338867,28.423028305531677,0.9171331168831169,-4.773030254335562
LS,music,F,Hyperbolic,0.3079257861658983,0.9360727149731486,24.504927376102337,0.9462926136363635,-5.369979006785934
NG,money,F,Hyperbolic,0.45231541928404284,0.5088142976624008,35.50365496269351,0.8797546439628484,-2.5206636141930603
CL,food,C,Hyperbolic,0.46756879554292985,0.9007237290309098,36.1397050693322,0.8494644531249999,-4.878500674300805
CF,money,C,Hyperbolic,0.3419442967708619,0.8232789707033056,27.513301118503172,0.9272221996753247,-4.182021475862143
DCRD,food,C,Hyperbolic,0.30384539865808313,0.973630104465181,25.021446950467467,0.9495773411371239,-6.307950799912245
AH,food,F,Hyperbolic,0.39076142044740814,0.8343051500642713,30.647991436152587,0.9049789062499999,-4.264171810152939
SG,music,F,Hyperbolic,0.22026770754677596,0.9986291861733273,17.70268551857244,0.6766865808823528,-9.29857187322675
SD,music,F,Hyperbolic,0.39406655600730833,0.29219537525660677,31.36444983180433,0.9057913961038957,-1.4268353260485451
JSL,money,C,Hyperbolic,0.40541787621416026,0.4727911479360042,32.123303114451055,0.9062294891640869,-2.3528567814758197
NG,food,C,Hyperbolic,0.444199217837581,0.9249301851739251,35.09941440384997,0.8714097222222221,-5.193341960198339
CC,money,F,Hyperbolic,0.3304966445393829,0.4265394721101329,27.616886153010086,0.9324966269841272,-2.133003057341049
SA,music,F,Hyperbolic,0.9139835922637821,0.2721006169068765,68.6491871698519,0.35438242187499996,-1.3060833778683938
BF,food,C,Hyperbolic,0.31786294257532277,0.964583727465099,25.108049749005406,0.9182244983277593,-6.000556261653188
EM,food,F,Hyperbolic,0.3002778690091572,0.09885173335571776,24.092912890145538,0.9476679687500003,0.20242746218900204
RD,music,F,Hyperbolic,0.5604148936212034,0.7942614075993769,44.39828474830128,0.8410045986622072,-3.9821888234459055
ND,money,C,Hyperbolic,0.3843303943815551,0.9427674108175335,29.937895938559116,0.9058336038961036,-5.490102932427275
CL,music,F,Hyperbolic,0.4012019003982175,0.7067996881448787,33.678820815850855,0.9079187306501549,-3.4726495753309177
FD,money,F,Hyperbolic,0.39870763806874293,0.41653032096793197,31.111256191145017,0.8982372685185186,-2.08443432071979
SG,music,C,Hyperbolic,,0.9990580815678487,1.9777741587829123,,-9.674385592707937
CC,food,C,Hyperbolic,0.8464812817129228,0.7021854072799563,63.46664732662911,0.2814835937499999,-3.44832257123008
SD,food,C,Hyperbolic,0.3324259166737169,0.9540375177932172,26.687936637913584,0.9235685763888887,-5.725244532886526
RV,food,C,Hyperbolic,0.41576010399436913,0.947276034166264,33.73561576841547,0.8736738636363639,-5.578517106603133
YVH,music,C,Hyperbolic,0.819773169675742,0.31488903276133223,62.37529469433302,0.5258332043343653,-1.557012598570065
JSL,money,F,Hyperbolic,0.43644980278028245,0.7940566496151883,34.26772966019523,0.896159829721362,-3.9808506862938278
MH,money,F,Hyperbolic,0.5275421780413132,0.4630554633834119,41.34946925195905,0.8317836687306503,-2.307093183459231
ND,food,C,Hyperbolic,0.43391443275909236,0.5896400276326481,33.63424032507424,0.8759197530864199,-2.895722172494624
LD,money,C,Hyperbolic,0.29237805879621515,0.7936593908004433,24.794754652290752,0.9508714843749997,-3.9782570824322954
BF,music,F,Hyperbolic,0.381810688307255,0.582685688955491,30.520605371018288,0.9215663580246911,-2.863182183220534
MH,music,C,Hyperbolic,0.3608862730312109,0.4788681084114283,28.28822751256503,0.9262025462962964,-2.3813155665925567
SD,food,F,Hyperbolic,0.3204643205982521,0.25591523031233304,25.80757384839023,0.9377218253968255,-1.2044184790901786
GW,money,C,Hyperbolic,0.3781673814699955,0.8404699132473619,29.871480579229317,0.9006187290969901,-4.311896575519221
CL,music,C,Hyperbolic,0.3404189328999705,0.8644764481802749,27.01982155314259,0.9305734126984128,-4.512514074878773
PF,money,C,Hyperbolic,0.3329466004472046,0.9004917593253905,27.102834151653397,0.9328584866220732,-4.875823445229631
JSL,music,F,Hyperbolic,0.4350004171258811,0.47193800654496987,34.138771210187954,0.8722269531249998,-2.348855237520788
DN,music,C,Hyperbolic,,0.9990427680455263,1.9970762995049702,,-9.658238097230074
KM,music,F,Hyperbolic,0.3595996655889213,0.7498568325435252,28.574886314404523,0.9126524767801855,-3.7101598205507984
JLN,food,F,Hyperbolic,0.37182497959047167,0.26203966297097614,29.24012510823017,0.9070844155844154,-1.2433902646328774
FD,money,C,Hyperbolic,0.32529697794711687,0.4661233076382806,27.455566714013607,0.94315234375,-2.32153823632069
BJ,food,C,Hyperbolic,0.9342761539323243,0.23020892551961514,110.51481759288869,0.03570332792207792,-1.0332880400465116
JDA,money,F,Hyperbolic,0.5095520584667104,0.39863253562001344,39.26312548187996,0.829662037037037,-1.9964431664753806
YVH,money,C,Hyperbolic,0.44140703535796233,0.9856131709135177,35.33184465208771,0.8465928497942388,-6.930170565750199
JD,music,C,Hyperbolic,0.35674428428679816,0.746045832170001,29.058434277990973,0.9320585317460319,-3.688257294432557
BF,money,F,Hyperbolic,0.310919982080321,0.9822305630572594,26.60939439589046,0.9359674999999997,-6.714419920577307
AB,money,F,Hyperbolic,0.32692406022751175,0.9961645950715947,26.55340245991997,0.78141357421875,-8.266406748228063
BD,food,F,Hyperbolic,0.4368227958472209,0.2908668831680129,33.67998910573954,0.8776361111111114,-1.4190216904314665
SE,food,F,Hyperbolic,0.3731576555508136,0.04989836658356907,30.845332208465464,0.8392592364532021,1.1050801679912858
